Processo: Verba para Ações | Status: Concluído | Início: 2024-11-26 11:37:35 | Duração: 2.00 segundos
Processo: Contas Fixas | Status: Concluído | Início: 2024-11-26 11:37:38 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - name 'day' is not defined | Início: 2024-11-28 18:27:56 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - [Errno 2] No such file or directory: 'vizzela-server-3f9fe2c572e0.json' | Início: 2024-11-28 18:29:28 | Duração: 2.00 segundos
Processo: Vencidos | Status: Concluído - [] | Início: 2024-11-28 18:30:49 | Duração: 3.30 segundos
Processo: Vencidos | Status: Concluído - [] | Início: 2024-11-28 18:34:45 | Duração: 3.13 segundos
Processo: Vencidos | Status: Concluído - [] | Início: 2024-11-28 18:37:21 | Duração: 3.32 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-06 18:44:23 | Duração: 2.00 segundos
Processo: Contas Fixas | Status: Concluído | Início: 2024-12-09 16:09:33 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - [Errno 2] No such file or directory: 'pedidoRep1.csv' | Início: 2024-12-09 16:43:21 | Duração: 3.78 segundos
Processo: Vencidos | Status: Concluído - ['BB LM CE: OK', 'BB MM Salvador: OK', 'BB Ueda AM: OK', 'BB VP Piaui: OK', 'BB LM PE: OK', 'BB LM PB: OK', 'BB SSM RJ: OK', 'BB WLA: OK'] | Início: 2024-12-09 16:44:40 | Duração: 13.46 segundos
Processo: Vencidos | Status: Erro - No module named 'openpyxl' | Início: 2024-12-09 17:27:11 | Duração: 3.58 segundos
Processo: Vencidos | Status: Concluído - ['BB MM Salvador: OK', 'BB Ueda AM: OK', 'BB VP Piaui: OK', 'BB LM PE: OK', 'BB LM PB: OK', 'BB SSM RJ: OK', 'BB WLA: OK'] | Início: 2024-12-09 17:28:03 | Duração: 22.07 segundos
Processo: Vencidos | Status: Concluído - [] | Início: 2024-12-09 17:31:20 | Duração: 3.53 segundos
Processo: Vencidos | Status: Erro - Diretório não existe!!! | Início: 2024-12-09 18:15:07 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório não existe!!! | Início: 2024-12-09 18:20:50 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório não existe!!! | Início: 2024-12-09 18:22:29 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório não existe!!! | Início: 2024-12-09 18:22:47 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório /home/leo/Vencidos/09-12-2024/Vencidos*.bbt não existe!!! | Início: 2024-12-09 18:24:29 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório /home/leo/Vencidos/09-12-2024/Vencidos*.bbt não existe!!! | Início: 2024-12-09 18:25:17 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório /home/leo/Vencidos/09-12-2024/Vencidos*.bbt não existe!!! | Início: 2024-12-09 18:27:11 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório /home/leo/Vencidos/{day}-{month}-{year}/ não existe!!! | Início: 2024-12-09 18:32:41 | Duração: 2.00 segundos
Processo: Vencidos | Status: Concluído - ['BB MM Salvador: OK', 'BB Ueda AM: OK', 'BB VP Piaui: OK', 'BB LM PE: OK', 'BB LM PB: OK', 'BB SSM RJ: OK', 'BB WLA: OK'] | Início: 2024-12-09 18:33:19 | Duração: 23.54 segundos
Processo: Vencidos | Status: Concluído - ['BB LM CE: OK', 'BB MM Salvador: OK', 'BB Ueda AM: OK', 'BB VP Piaui: OK', 'BB LM PE: OK', 'BB LM PB: OK', 'BB SSM RJ: OK', 'BB WLA: OK'] | Início: 2024-12-10 10:54:11 | Duração: 28.40 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:22:47 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:22:57 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:24:33 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório /home/leo/Vencidos/12-12-2024/ não existe!!! | Início: 2024-12-10 16:28:57 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:29:00 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:32:09 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:57:37 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Concluído | Início: 2024-12-10 16:57:45 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:05:29 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório <built-in function dir> não existe!!! | Início: 2024-12-10 17:05:40 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:06:12 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:08:29 | Duração: 2.00 segundos
Processo: Vencidos | Status: Erro - Diretório <built-in function dir> não existe!!! | Início: 2024-12-10 17:08:46 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:16:44 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:17:28 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:28:25 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:33:16 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:33:30 | Duração: 2.00 segundos
Processo: Verba para Ações | Status: Erro - 400 Bad Request: The browser (or proxy) sent a request that this server could not understand. | Início: 2024-12-10 17:40:08 | Duração: 2.00 segundos
